Stock,MSE,RMSE,MAE,R2,hyperparam_set
AAPL,32.616013,5.711043,5.3408437,-1883.505615234375,1
MSFT,76.4067,8.741093,7.3522525,-3104.213623046875,1
NVDA,652.201,25.538225,19.379314,-7838.85400390625,1
AMZN,0.4706708,0.6860545,0.56508875,-21.364429473876953,1
GOOG,33.572845,5.794208,5.0924516,-1798.14990234375,1
META,27.457314,5.2399726,4.291177,-620.4301147460938,1
BRK-B,2.4558475,1.5671144,1.2709067,-112.86565399169922,1
GOOGL,9.614707,3.100759,2.477352,-519.5076293945312,1
AVGO,88.67708,9.416851,8.546637,-1854.10791015625,1
TSLA,15.641014,3.9548721,3.4884198,-887.5867309570312,1
LLY,17.73935,4.2118106,3.0354102,-252.31251525878906,1
JPM,4.1349297,2.0334527,1.7349763,-169.95681762695312,1
WMT,1.1575567,1.075898,0.77714896,-40.6778450012207,1
V,11.997793,3.463783,3.2217464,-898.0521240234375,1
XOM,32.355576,5.688196,5.066867,-649.517333984375,1
MA,0.55700666,0.7463288,0.5897847,-37.51329040527344,1
UNH,3.1481354,1.7742985,1.2762797,-286.5947570800781,1
ORCL,25.77107,5.0765214,3.7341452,-791.4441528320312,1
NFLX,5.6847653,2.3842745,1.6702647,-161.5356903076172,1
COST,4.193729,2.0478597,1.7668191,-120.68292999267578,1
JNJ,0.6943052,0.83324975,0.6612118,-311.2526550292969,1
PG,0.63949215,0.79968256,0.6554142,-67.36392211914062,1
ABBV,205.1179,14.321938,13.558376,-8134.38623046875,1
HD,29.087553,5.3932877,4.84821,-2541.08154296875,1
BAC,3.7727654,1.9423608,1.6551859,-233.74136352539062,1
