MSE,RMSE,MAE,R2,hyperparam_set,batch_size,epochs,walkforward_retrain_step,model_type
4642.4677734375,54.18681335449219,43.203346252441406,-0.1076506495475769,1,128,5,200,transformer_base
5634.525390625,56.42257308959961,43.1038932800293,-0.1673319387435913,2,256,10,100,transformer_base
3341.8359375,46.402198791503906,35.72378158569336,-0.005612750053405762,3,256,15,50,transformer_base
1849.6192626953125,35.30766296386719,26.514799118041992,0.4340931224822998,4,128,30,50,transformer_base
1499.7177734375,31.53476333618164,23.381507873535156,0.5631766772270203,5,64,40,25,transformer_base
4975.04052734375,57.75387191772461,45.893882751464844,-0.3486083245277405,1,128,5,200,transformer_lstm
4366.095703125,50.767784118652344,38.94744110107422,0.14955286502838136,2,256,10,100,transformer_lstm
2764.488037109375,42.78937911987305,32.55388259887695,0.23809805154800415,3,256,15,50,transformer_lstm
1066.6685791015625,26.790546417236328,19.527156829833984,0.6658675479888916,4,128,30,50,transformer_lstm
