Stock,MSE,RMSE,MAE,R2,batch_size,epochs,walkforward_retrain_step,hyperparam_set
AAPL,967.35895,31.102394,23.244673,0.16380959749221802,256,15,50,3
MSFT,1684.1002,41.03779,33.357803,0.6674365401268005,256,15,50,3
NVDA,504.25397,22.4556,15.361254,0.7282887101173401,256,15,50,3
AMZN,523.3796,22.877491,17.337305,0.574516236782074,256,15,50,3
GOOG,267.88705,16.367256,13.786939,0.6474255919456482,256,15,50,3
META,11556.521,107.50127,84.36631,0.49979645013809204,256,15,50,3
BRK-B,4844.317,69.60113,46.114815,0.09332054853439331,256,15,50,3
GOOGL,738.69507,27.178946,18.553532,0.005126774311065674,256,15,50,3
AVGO,1758.9274,41.939568,29.664679,0.4013208746910095,256,15,50,3
TSLA,4192.6665,64.7508,52.35187,-0.025874733924865723,256,15,50,3
LLY,11336.897,106.47487,85.64087,0.816559910774231,256,15,50,3
JPM,1005.4422,31.708708,23.631174,0.4299015402793884,256,15,50,3
WMT,60.041927,7.7486725,5.2532363,0.761877179145813,256,15,50,3
V,3234.661,56.87408,33.752716,-0.9426978826522827,256,15,50,3
XOM,98.43868,9.921627,8.180699,0.832706093788147,256,15,50,3
MA,2530.412,50.303204,40.38933,0.46384501457214355,256,15,50,3
UNH,2682.5596,51.79343,38.766136,0.3414207100868225,256,15,50,3
ORCL,555.57733,23.570688,17.899305,0.5028889179229736,256,15,50,3
NFLX,10382.807,101.89606,80.4233,0.7593634128570557,256,15,50,3
COST,7598.262,87.168015,69.07534,0.8032609224319458,256,15,50,3
JNJ,209.48189,14.473489,12.042365,-3.2862472534179688,256,15,50,3
PG,101.61412,10.080383,8.592408,0.5891156196594238,256,15,50,3
ABBV,922.28143,30.369087,23.162003,-0.007439732551574707,256,15,50,3
HD,1316.4834,36.283375,28.788366,0.3370943069458008,256,15,50,3
BAC,39.14422,6.256534,4.110642,-0.20436406135559082,256,15,50,3
